,id,original_text,published_date,label,original_text_converted
0,mg_5e88f222e4dc73425ee6b8ec_11413001147294,"[07/02, 7:19 am] Pvr K. S Lim: 轉發：
朋友台商鄭×志轉，我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多了解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武汉病毒，只要人体保持热能，多吃点姜，多做运动，就不会 感染病毒，假如有发高烧的症状，就盖被子，喝姜汤，让体内的热能提高。就可以防止感染。无需注射疫苗。多吃姜，蒜头辣椒，胡椒粉都可以解决了。
少吃甜酸咸苦。不需喝太多水。别去寒凉的天气的地区。
只要太阳在病毒地区,大晒一场,病毒就会完全消失。
大家分享出去，帮到一个就一个。
",2020/2/11,498,"[07/02, 7:19 am] Pvr K. S Lim: 轉發：
朋友臺商鄭×志轉，我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝薑湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。
"
1,mg_5e88f26ae4dc73425eea2927_11412880562007,"朋友转发的……碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多了解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武汉病毒，只要人体保持热能，多吃点姜，多做运动，就不会 感染病毒，假如有发高烧的症状，就盖被子，喝姜汤，让体内的热能提高。就可以防止感染。无需注射疫苗。多吃姜，蒜头辣椒，胡椒粉都可以解决了。
少吃甜酸咸苦。不需喝太多水。别去寒凉的天气的地区。
只要太阳在病毒地区,大晒一场,病毒就会完全消失。
大家分享出去，帮到一个就一个。
[Sun][Heart][Coffee][Rose]🙏
转发",2020/2/11,498,"朋友轉發的……碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝薑湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。
[Sun][Heart][Coffee][Rose]🙏
轉發"
2,mg_5e88f214e4dc73425ee5df28_11415060794295,"轉我一個好朋友發來的帖子：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝姜湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃姜，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸咸苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。",2020/2/12,498,"轉我一個好朋友發來的帖子：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝姜湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。"
3,mg_5e88f21ee4dc73425ee652d6_11418532478057,"轉：
我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝姜湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃姜，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸咸苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。",2020/2/12,498,"轉：
我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝姜湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。"
4,mg_5e88f25be4dc73425ee93cec_11416822071759,"轉：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
 防止武漢病毒，只要人體保持熱能，多吃點薑，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝姜湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。多喝熱水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。
",2020/2/12,498,"轉：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
 防止武漢病毒，只要人體保持熱能，多吃點薑，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝姜湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。多喝熱水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。
"
5,mg_5e88f226e4dc73425ee70b10_11420821201152,"转：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多了解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武汉病毒，只要人体保持热能，多吃点姜，多做运动，就不会 感染病毒，假如有发高烧的症状，就盖被子，喝姜汤，让体内的热能提高。就可以防止感染。无需注射疫苗。多吃姜，蒜头辣椒，胡椒粉都可以解决了。
少吃甜酸咸苦。不需喝太多水。别去寒凉的天气的地区。
只要太阳在病毒地区,大晒一场,病毒就会完全消失。
大家分享出去，帮到一个就一个。",2020/2/13,498,"轉：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝薑湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。"
6,mg_5e88f214e4dc73425ee5d9bb_11426831022292,"转：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多了解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武汉病毒，只要人体保持热能，多吃点姜，多做运动，就不会 感染病毒，假如有发高烧的症状，就盖被子，喝姜汤，让体内的热能提高。就可以防止感染。无需注射疫苗。多吃姜，蒜头辣椒，胡椒粉都可以解决了。
少吃甜酸咸苦。不需喝太多水。别去寒凉的天气的地区。
只要太阳在病毒地区,大晒一场,病毒就会完全消失。
大家分享出去，帮到一个就一个。",2020/2/14,498,"轉：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝薑湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。"
7,mg_5e88f215e4dc73425ee61c04_11430348471421,"转：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多了解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武汉病毒，只要人体保持热能，多吃点姜，多做运动，就不会 感染病毒，假如有发高烧的症状，就盖被子，喝姜汤，让体内的热能提高。就可以防止感染。无需注射疫苗。多吃姜，蒜头辣椒，胡椒粉都可以解决了。
少吃甜酸咸苦。不需喝太多水。别去寒凉的天气的地区。
只要太阳在病毒地区,大晒一场,病毒就会完全消失。
大家分享出去，帮到一个就一个。",2020/2/14,498,"轉：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝薑湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。"
8,mg_5e88f254e4dc73425ee92108_11425792409655,"转：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多了解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武汉病毒，只要人体保持热能，多吃点姜，多做运动，就不会 感染病毒，假如有发高烧的症状，就盖被子，喝姜汤，让体内的热能提高。就可以防止感染。无需注射疫苗。多吃姜，蒜头辣椒，胡椒粉都可以解决了。
少吃甜酸咸苦。不需喝太多水。别去寒凉的天气的地区。
只要太阳在病毒地区,大晒一场,病毒就会完全消失。
大家分享出去，帮到一个就一个。",2020/2/13,498,"轉：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝薑湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。"
9,mg_5e88f25be4dc73425ee93b38_11426998613390,"转：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多了解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武汉病毒，只要人体保持热能，多吃点姜，多做运动，就不会 感染病毒，假如有发高烧的症状，就盖被子，喝姜汤，让体内的热能提高。就可以防止感染。无需注射疫苗。多吃姜，蒜头辣椒，胡椒粉都可以解决了。
少吃甜酸咸苦。不需喝太多水。别去寒凉的天气的地区。
只要太阳在病毒地区,大晒一场,病毒就会完全消失。
大家分享出去，帮到一个就一个。",2020/2/14,498,"轉：我同學的嫡親外甥，碩士畢業，在深圳醫院工作。 現被抽調研究武漢肺炎病毒。 他剛剛來電讓我轉告訴朋友們：感冒時，如出現流鼻涕和咳痰者，就不可能是新型冠狀病毒肺炎，因為冠狀病毒肺炎是乾咳無流鼻涕，這是最簡單的鑑別方法。 請轉告你的朋友們，多瞭解一點醫學知識，就多一份鑑別和防範的意識。

振興主任告知這次的武漢病毒並不耐熱在溫度26-27度的環境下就會被殺死。所以要多飲用熱水。
可以轉告親朋好友們多喝熱水預防。
[07/02, 7:21 am] Pvr K. S Lim: 防止武漢病毒，只要人體保持熱能，多吃點姜，多做運動，就不會 感染病毒，假如有發高燒的症狀，就蓋被子，喝薑湯，讓體內的熱能提高。就可以防止感染。無需注射疫苗。多吃薑，蒜頭辣椒，胡椒粉都可以解決了。
少吃甜酸鹹苦。不需喝太多水。別去寒涼的天氣的地區。
只要太陽在病毒地區,大曬一場,病毒就會完全消失。
大家分享出去，幫到一個就一個。"
