id,original_text,published_date,label
mg_5e55dc306c22d4001aca6b21_11494851958334,"
 新的NCP冠狀病毒可能會很多天都沒有感染的跡象，那麼如何知道他/她是否被感染了呢？
 最新信息是潛伏期可能長達28天，才有COVID 19症狀明顯。

 那個時候一個人發燒和/或咳嗽才去醫院時，肺部通常有50％的纖維化，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以進行；

 深呼吸，屏住呼吸10秒鐘以上。
 如果您這樣做而沒有咳嗽，沒有不適，悶氣或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。
 至少每15分鐘喝幾口水。
 為什麼呢？
 即使病毒確實進入了您的口腔，飲用水或其他液體也會通過食道將其沖洗掉並進入胃中。
 您的胃酸會殺死所有病毒。
 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。
 那很危險。

 請發送和與家人，朋友和每個人分享有關此！

 保重大家，並希望世界盡快從日冕病毒中恢復過來。

  祝大家幸福快樂。
  🙏
 --",2020/2/26,11
mg_5e55e4506c22d4001aca6b4e_11495005586689,"
 新的NCP冠狀病毒可能會很多天都沒有感染的跡象，那麼如何知道他/她是否被感染了呢？
 最新信息是潛伏期可能長達28天，才有COVID 19症狀明顯。

 那個時候一個人發燒和/或咳嗽才去醫院時，肺部通常有50％的纖維化，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以進行；

 深呼吸，屏住呼吸10秒鐘以上。
 如果您這樣做而沒有咳嗽，沒有不適，悶氣或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。
 至少每15分鐘喝幾口水。
 為什麼呢？
 即使病毒確實進入了您的口腔，飲用水或其他液體也會通過食道將其沖洗掉並進入胃中。
 您的胃酸會殺死所有病毒。
 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。
 那很危險。

 請發送和與家人，朋友和每個人分享有關此！

 保重大家，並希望世界盡快從日冕病毒中恢復過來。

  祝大家幸福快樂。
  🙏
 --",2020/2/26,11
mg_5e88f226e4dc73425ee703db_11495517975633,"
 新的NCP冠狀病毒可能會很多天都沒有感染的跡象，那麼如何知道他/她是否被感染了呢？
 最新信息是潛伏期可能長達28天，才有COVID 19症狀明顯。

 那個時候一個人發燒和/或咳嗽才去醫院時，肺部通常有50％的纖維化，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以進行；

 深呼吸，屏住呼吸10秒鐘以上。
 如果您這樣做而沒有咳嗽，沒有不適，悶氣或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。
 至少每15分鐘喝幾口水。
 為什麼呢？
 即使病毒確實進入了您的口腔，飲用水或其他液體也會通過食道將其沖洗掉並進入胃中。
 您的胃酸會殺死所有病毒。
 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。
 那很危險。

 請發送和與家人，朋友和每個人分享有關此！

 保重大家，並希望世界盡快從日冕病毒中恢復過來。

  祝大家幸福快樂。
  🙏
 --",2020/2/26,11
mg_5e88f222e4dc73425ee69030_11500245811572,"
 新的NCP冠狀病毒可能會很多天都沒有感染的跡象，那麼如何知道他/她是否被感染了呢？
 最新信息是潛伏期可能長達28天，才有COVID 19症狀明顯。

 那個時候一個人發燒和/或咳嗽才去醫院時，肺部通常有50％的纖維化，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以進行；

 深呼吸，屏住呼吸10秒鐘以上。
 如果您這樣做而沒有咳嗽，沒有不適，悶氣或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。
 至少每15分鐘喝幾口水。
 為什麼呢？
 即使病毒確實進入了您的口腔，飲用水或其他液體也會通過食道將其沖洗掉並進入胃中。
 您的胃酸會殺死所有病毒。
 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。
 那很危險。

 請發送和與家人，朋友和每個人分享有關此！

 保重大家，並希望世界盡快從日冕病毒中恢復過來。

  祝大家幸福快樂。
  🙏
 --",2020/2/27,11
mg_5e88f242e4dc73425ee7b410_11503047485899,"原文转发：新的NCP冠状病毒可能许多天都不显示感染的迹象，那怎么知道他/她是否被感染。當他們發燒和/或咳嗽去醫院的時候，肺部通常有50%的纖維化，已經太遲了！
臺灣專家提供了一個我們每天早上都能做的簡單的自我檢查：
深吸一口氣，屏住呼吸10秒以上。如果你成功地完成它沒有咳嗽，沒有不適，气闷或緊張等，就證明肺部沒有纖維化，基本上表明沒有感染。
在關鍵時刻，請每天早上在空氣清新的環境中進行自我檢查！
治療新冠病毒的日本醫生提出很好的建議（注：这是重点，原文用大写强调）。每個人都應該確保你的口腔和喉嚨是溼潤的，一定不能乾燥。至少每15分鐘喝幾口水。爲什麼？即使病毒進入你的嘴裏，会随着飲用水或其他液體经食道流進你的胃裏。你的胃酸會殺死所有的病毒。如果你不定时喝足夠的水，病毒就會進入你的氣管和進入肺部。那很危險。
請發送给家人、朋友以及所有的人分享這一點！請大家保重，并祝愿世界能很快從冠狀病毒中恢复过来。願大家都健康幸福。",2020/2/27,11
mg_5e88f21ee4dc73425ee63adf_11507147143210,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂🙏",2020/2/28,11
mg_5e88f21fe4dc73425ee6675c_11507061129975,"收到消息：
新的NCP冠狀病毒可能很多天都沒有顯示出感染的跡象，
如何知道他/她是否被感染。
等到他們發燒和/或咳嗽並去醫院的時候，
肺通常纖維化程度為50％，為時已晚！

台灣專家提供了一個簡單的自我檢查，
我們每天早晨都可以這樣做：

(*)深呼吸，屏住呼吸10秒鐘以上。
如果您成功完成了治療而沒有咳嗽，
沒有不適，鼻塞或緊繃等現象，
則表明肺部沒有纖維化，
基本上表明沒有感染。

在關鍵時刻，
請每天早晨在乾淨的環境中進行自我檢查！

日本醫生治療COVID-19病例的嚴重建議。
(*)每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。

至少每15分鐘喝幾口水。
為什麼？即使病毒進入您的嘴...
喝水或其他液體也會通過食道將其沖洗到胃中。
一旦進入肚子...
您的胃酸將殺死所有病毒。
如果您不經常喝足夠的水，
則該病毒會進入您的氣管並進入LUNGS。那很危險。
請發送和與家人，朋友和每個人分享有關此！",2020/2/28,11
mg_5e88f22ce4dc73425ee71ea4_11508768487540,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂🙏",2020/2/28,11
mg_5e88f26ae4dc73425eea4830_11508819157389,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂🙏",2020/2/28,11
mg_5e88f222e4dc73425ee68d61_11511784094985,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

深呼吸，屏住呼吸10秒鐘以上。如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

日本醫生治療COVID-19病例的嚴重建議。每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。至少每15分鐘喝幾口水。為什麼？即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。一旦進入肚子...您的胃酸將殺死所有病毒。如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。那很危險。
請發送和與家人，朋友和每個人分享有關此！保重每一個人，使世界盡快從日冕病毒中恢復過來。願所有人幸福快樂🙏",2020/2/28,11
